iter	RMSE
0	1034.985762
1	932.3490226
2	840.6582288
3	757.5717845
4	682.4752369
5	615.0324752
6	554.4048951
7	499.5792871
8	450.5978593
9	406.2651926
10	366.5938742
11	330.5588583
12	298.0867806
13	268.9762149
14	242.6131104
15	219.119137
16	197.8637123
17	178.6514126
18	161.4970537
19	146.0786421
20	132.2237671
21	119.7040204
22	108.5160268
23	98.4540266
24	89.32158051
25	81.17626717
26	73.92276487
27	67.38448097
28	61.51580816
29	56.25124908
30	51.53114984
31	47.3562128
32	43.58056426
33	40.286906
34	37.31921192
35	34.68400812
36	32.37729719
37	30.32165893
38	28.53465654
39	26.98593544
40	25.57091947
41	24.34309263
42	23.32673032
43	22.35817869
44	21.48710434
45	20.69825102
46	20.09998266
47	19.5857934
48	19.05926429
49	18.60881288
50	18.2152636
51	17.89718883
52	17.60906667
53	17.38650526
54	17.1140919
55	16.83844033
56	16.58814136
57	16.29541648
58	16.08454695
59	15.90965651
60	15.6820891
61	15.5646019
62	15.46039716
63	15.31479477
64	15.12507913
65	14.95319151
66	14.86938056
67	14.79703096
68	14.63444116
69	14.52898052
70	14.41273425
71	14.25102016
72	14.12277843
73	14.02529331
74	13.94044492
75	13.89162202
76	13.84601388
77	13.74749078
78	13.65615234
79	13.53716423
80	13.44143061
81	13.35056947
82	13.26764293
83	13.17482665
84	13.09367898
85	13.04060486
86	12.95932766
87	12.88274832
88	12.81071894
89	12.7269951
90	12.65137288
91	12.54201675
92	12.46864816
93	12.39297997
94	12.31694739
95	12.27241846
96	12.18983065
97	12.11512526
98	12.05925038
99	11.99544606
100	11.96908883
101	11.8846235
102	11.81615229
103	11.75004229
104	11.69145844
105	11.62659978
106	11.57986799
107	11.51121877
108	11.47185727
109	11.41278074
110	11.35620867
111	11.30046857
112	11.27165943
113	11.20107427
114	11.14744525
115	11.08883395
116	11.01606551
117	10.97329433
118	10.91847835
119	10.85294802
120	10.80956334
121	10.7604878
122	10.71165685
123	10.65201006
124	10.61890399
125	10.57506099
126	10.50954374
127	10.45383124
128	10.42637899
129	10.36983477
130	10.3259577
131	10.27471119
132	10.2179908
133	10.16705108
134	10.12416304
135	10.09211055
136	10.04797414
137	10.00764915
138	9.977223125
139	9.935287603
140	9.891512035
141	9.849102231
142	9.810389175
143	9.771546062
144	9.72666447
145	9.679722618
146	9.618032706
147	9.578840516
148	9.539674057
149	9.505346369
150	9.480460095
151	9.43339209
152	9.393562331
153	9.357335705
154	9.321186281
155	9.296687414
156	9.261299592
157	9.225918489
158	9.198335416
159	9.172305222
160	9.138337947
161	9.098073725
162	9.062971157
163	9.030365111
164	8.999698024
165	8.972245187
166	8.944545824
167	8.92070288
168	8.890188005
169	8.859518833
170	8.820470142
171	8.791559418
172	8.762687095
173	8.741407288
174	8.712004919
175	8.693047777
176	8.663076671
177	8.630149839
178	8.605924718
179	8.581209154
180	8.553024119
181	8.518086321
182	8.494544328
183	8.468713361
184	8.437924746
185	8.410042672
186	8.388581113
187	8.36585859
188	8.350153068
189	8.328054583
190	8.308840108
191	8.27540582
192	8.241626859
193	8.213181725
194	8.187371259
