iter	Passed	Remaining
0	24	12097
1	43	10844
2	56	9306
3	68	8543
4	89	8877
5	108	8941
6	128	9048
7	147	9060
8	168	9197
9	186	9125
10	207	9238
11	230	9355
12	258	9686
13	282	9809
14	303	9826
15	327	9919
16	350	9971
17	373	10011
18	392	9936
19	415	9975
20	439	10018
21	459	9975
22	476	9872
23	498	9879
24	516	9812
25	531	9689
26	542	9495
27	557	9404
28	571	9286
29	589	9243
30	607	9189
31	623	9117
32	640	9065
33	656	9004
34	671	8918
35	691	8913
36	715	8948
37	739	8984
38	764	9031
39	786	9041
40	806	9030
41	831	9063
42	854	9078
43	879	9109
44	901	9116
45	929	9173
46	947	9130
47	976	9199
48	1000	9204
49	1021	9191
50	1047	9225
51	1103	9505
52	1175	9913
53	1203	9942
54	1231	9960
55	1255	9957
56	1291	10034
57	1318	10049
58	1342	10036
59	1372	10063
60	1400	10080
61	1426	10076
62	1456	10104
63	1479	10075
64	1497	10022
65	1516	9970
66	1539	9949
67	1564	9936
68	1581	9880
69	1602	9843
70	1621	9796
71	1644	9776
72	1664	9738
73	1687	9717
74	1705	9666
75	1721	9602
76	1736	9541
77	1754	9492
78	1774	9453
79	1786	9379
80	1800	9312
81	1813	9244
82	1833	9211
83	1853	9177
84	1866	9114
85	1879	9048
86	1900	9021
87	1917	8978
88	1936	8943
89	1957	8915
90	1975	8878
91	1991	8831
92	2008	8787
93	2024	8743
94	2041	8701
95	2058	8661
96	2072	8608
97	2086	8557
98	2099	8504
99	2115	8462
100	2134	8430
101	2147	8379
102	2166	8352
103	2180	8303
104	2198	8268
105	2210	8215
106	2227	8182
107	2245	8149
108	2263	8120
109	2283	8097
110	2304	8075
111	2321	8042
112	2342	8023
113	2365	8010
114	2384	7981
115	2400	7946
116	2418	7917
117	2432	7875
118	2444	7827
119	2465	7808
120	2478	7764
121	2496	7736
122	2510	7696
123	2529	7669
124	2546	7640
125	2566	7618
126	2587	7598
127	2601	7560
128	2615	7521
129	2638	7510
130	2656	7483
131	2675	7460
132	2694	7434
133	2713	7412
134	2732	7388
135	2754	7372
136	2778	7362
137	2793	7326
138	2812	7304
139	2827	7271
140	2845	7245
