iter	RMSE
0	10.17521978
1	10.04259499
2	9.914281959
3	9.792120933
4	9.676521733
5	9.568094728
6	9.45879795
7	9.358212809
8	9.262659848
9	9.173846447
10	9.08886259
11	9.001201671
12	8.923482922
13	8.849758355
14	8.773194273
15	8.704554142
16	8.640925549
17	8.58142357
18	8.519313724
19	8.459987101
20	8.40814058
21	8.36055551
22	8.312266331
23	8.269358275
24	8.222313273
25	8.183525527
26	8.145757417
27	8.103575552
28	8.070403157
29	8.033021197
30	8.002280308
31	7.970750139
32	7.936469491
33	7.909838743
34	7.878577034
35	7.843817753
36	7.806183107
37	7.767558321
38	7.73053778
39	7.693061141
40	7.669227871
41	7.642820147
42	7.611862287
43	7.582958304
44	7.555086679
45	7.536779485
46	7.515958919
47	7.490191567
48	7.468159468
49	7.445619501
50	7.425769666
51	7.406873152
52	7.390429222
53	7.375634673
54	7.359288115
55	7.348943251
56	7.335412518
57	7.318935618
58	7.302091001
59	7.287449948
60	7.279659807
61	7.264982805
62	7.254736426
63	7.244130421
64	7.229800576
65	7.220191049
66	7.208273519
67	7.201133693
68	7.191613629
69	7.183138931
70	7.17511365
71	7.169295598
72	7.165230886
73	7.158382969
74	7.152756551
75	7.148578069
76	7.136153566
77	7.125600425
78	7.115896358
79	7.10662749
80	7.103307728
81	7.095055717
82	7.090280253
83	7.087551094
84	7.083659308
85	7.074510571
86	7.071913786
87	7.065906314
88	7.063144751
89	7.0560085
90	7.0522731
91	7.04899905
92	7.040796391
93	7.038614061
94	7.031704066
95	7.028985942
96	7.021687607
97	7.013876201
98	7.009943941
99	7.007717053
100	7.001508044
101	6.994969493
102	6.992401513
103	6.990435623
104	6.98069981
105	6.972100149
106	6.967474841
107	6.962037619
108	6.959907132
109	6.958567546
110	6.957003008
111	6.952903189
112	6.946142517
113	6.940450775
114	6.936340312
115	6.928940036
116	6.92607217
117	6.924337976
118	6.921212845
119	6.920368749
120	6.916898495
121	6.912595536
122	6.91146541
123	6.90537574
124	6.904224207
125	6.903228389
126	6.897371904
127	6.892565569
128	6.891773139
129	6.887106648
130	6.885876576
131	6.882343853
132	6.880271836
133	6.879543546
134	6.87890348
135	6.875748287
136	6.875298861
137	6.873601034
138	6.871638851
139	6.869224754
140	6.867713277
141	6.867199755
142	6.866639317
143	6.866052954
144	6.863613435
145	6.86087662
146	6.859597861
147	6.859007011
148	6.857352508
149	6.856108105
150	6.855758093
151	6.853349854
152	6.851813856
153	6.850594173
154	6.850265366
155	6.849262096
156	6.848335527
157	6.845059977
158	6.844986258
159	6.843865586
160	6.841524955
161	6.839964071
162	6.838185699
163	6.837245274
164	6.837083579
165	6.837000791
166	6.836530039
167	6.835457107
168	6.832635427
169	6.831319984
170	6.831300853
171	6.830534916
172	6.829153414
173	6.82665226
174	6.825037799
175	6.824686867
176	6.823708808
177	6.823357971
178	6.822812663
179	6.82030288
180	6.818971834
181	6.817395405
182	6.816360013
183	6.81575715
184	6.814932871
185	6.814200816
186	6.812796468
187	6.811982399
188	6.81100672
189	6.810186886
190	6.80787772
191	6.807173516
192	6.806415538
193	6.805260461
194	6.804475603
195	6.804316199
196	6.804179273
197	6.803158641
198	6.80294031
199	6.802451166
200	6.802360044
201	6.801271372
202	6.800778839
203	6.800511752
204	6.800450356
205	6.799457741
206	6.798416611
207	6.797566818
208	6.796603083
209	6.795781159
210	6.795635645
