iter	Passed	Remaining
0	98	98538
1	192	96045
2	289	96099
3	455	113533
4	542	107882
5	627	103896
6	708	100463
7	809	100331
8	909	100123
9	1002	99198
10	1084	97467
11	1172	96552
12	1251	95005
13	1336	94160
14	1431	94004
15	1515	93228
16	1601	92585
17	1689	92191
18	1769	91385
19	1856	90983
20	1942	90544
21	2059	91546
22	2163	91905
23	2250	91526
24	2344	91439
25	2429	91006
26	2512	90541
27	2589	89890
28	2678	89696
29	2756	89135
30	2833	88579
31	2919	88306
32	2996	87805
33	3089	87782
34	3203	88318
35	3308	88582
36	3392	88307
37	3471	87885
38	3558	87675
39	3633	87203
40	3717	86964
41	3807	86854
42	3889	86559
43	3974	86355
44	4050	85961
45	4137	85816
46	4228	85736
47	4353	86345
48	4458	86539
49	4539	86246
50	4622	86009
51	4710	85875
52	4796	85705
53	4882	85542
54	4975	85488
55	5070	85478
56	5158	85333
57	5240	85106
58	5316	84796
59	5393	84498
60	5518	84941
61	5621	85048
62	5720	85085
63	5812	85002
64	5891	84745
65	5986	84721
66	6082	84695
67	6181	84716
68	6287	84838
69	6384	84819
70	6482	84825
71	6603	85108
72	6713	85250
73	6810	85228
74	6909	85222
75	7012	85261
76	7103	85155
77	7196	85063
78	7284	84927
79	7369	84751
80	7463	84673
81	7549	84522
82	7636	84373
83	7723	84221
84	7841	84412
85	7954	84537
86	8040	84377
87	8126	84220
88	8217	84112
89	8306	83990
90	8397	83885
91	8489	83784
92	8646	84324
93	8735	84194
94	8831	84134
95	8946	84241
96	9050	84251
97	9148	84199
98	9313	84763
99	9398	84588
100	9495	84523
101	9573	84284
102	9663	84156
103	9754	84039
104	9844	83912
105	9937	83812
106	10024	83661
107	10127	83647
108	10228	83608
109	10322	83521
110	10410	83376
111	10513	83358
112	10595	83172
113	10673	82953
114	10762	82821
115	10835	82576
116	10917	82392
117	11001	82229
118	11098	82164
119	11208	82194
120	11326	82281
121	11411	82128
122	11496	81969
123	11571	81749
124	11656	81593
125	11741	81443
126	11828	81310
127	11917	81190
128	11997	81007
129	12086	80885
130	12174	80759
131	12262	80637
132	12390	80770
133	12483	80675
134	12569	80538
135	12650	80367
136	12736	80229
137	12823	80103
138	12904	79934
139	13001	79866
140	13096	79785
141	13188	79690
142	13272	79539
143	13361	79425
144	13450	79310
145	13571	79386
146	13665	79296
147	13751	79164
148	13830	78989
149	13918	78872
150	14016	78807
151	14099	78660
152	14200	78614
153	14292	78516
154	14378	78383
155	14465	78264
156	14552	78138
157	14658	78117
158	14711	77815
159	14806	77731
160	14884	77566
161	14966	77419
162	15058	77327
163	15145	77204
164	15233	77088
165	15274	76738
166	15358	76606
167	15449	76509
168	15539	76410
169	15620	76265
170	15654	75890
171	15737	75757
172	15854	75789
173	15955	75741
174	16046	75649
175	16130	75522
176	16222	75429
177	16321	75371
178	16423	75325
179	16514	75231
180	16599	75110
181	16688	75004
182	16772	74881
183	16861	74777
184	16954	74692
185	17054	74634
186	17138	74511
187	17219	74375
188	17308	74270
189	17403	74193
190	17481	74046
191	17562	73908
192	17657	73833
193	17746	73730
194	17841	73652
195	17940	73591
196	18028	73487
197	18136	73460
198	18247	73449
199	18339	73359
200	18422	73231
201	18510	73126
202	18602	73036
203	18692	72936
204	18758	72746
205	18844	72635
206	18938	72552
207	19036	72484
208	19123	72377
209	19218	72296
210	19322	72253
211	19420	72185
212	19500	72050
213	19585	71934
214	19679	71852
215	19767	71749
216	19851	71629
217	19941	71533
218	20038	71462
219	20133	71382
220	20231	71313
221	20320	71214
222	20439	71217
223	20541	71162
224	20631	71062
225	20721	70967
226	20808	70859
227	20898	70763
228	20990	70670
229	21073	70551
230	21162	70450
231	21240	70311
232	21328	70210
233	21416	70107
234	21507	70012
235	21630	70024
236	21747	70014
237	21836	69913
238	21946	69879
239	22053	69834
240	22151	69762
241	22244	69674
242	22342	69600
243	22445	69545
244	22567	69545
245	22652	69430
246	22797	69500
247	22871	69351
248	22969	69278
249	23068	69206
250	23172	69147
251	23257	69033
252	23349	68942
253	23446	68863
254	23547	68796
255	23625	68660
256	23707	68538
257	23785	68405
258	23887	68341
259	23997	68299
260	24076	68171
261	24171	68085
262	24256	67973
263	24346	67873
264	24440	67786
265	24513	67643
266	24599	67534
267	24689	67435
268	24791	67371
269	24888	67291
270	24977	67191
271	25100	67181
272	25207	67128
273	25288	67004
274	25374	66896
275	25455	66775
276	25547	66680
277	25642	66597
278	25731	66495
279	25820	66395
280	25899	66268
281	25980	66149
282	26073	66059
283	26176	65995
284	26309	66005
285	26474	66093
286	26606	66099
287	26908	66524
288	27127	66740
289	27284	66801
290	27334	66598
291	27454	66567
292	27541	66457
293	27629	66347
294	27729	66269
295	27818	66162
296	27899	66038
297	27986	65927
298	28066	65802
299	28156	65699
300	28248	65601
301	28332	65483
302	28419	65374
303	28513	65281
304	28622	65221
305	28709	65113
306	28792	64994
307	28886	64901
308	28985	64817
309	29098	64767
310	29121	64516
311	29225	64445
312	29341	64401
313	29450	64340
314	29569	64302
315	29707	64302
316	29839	64290
317	29976	64288
318	30083	64221
319	30174	64121
320	30284	64059
321	30366	63940
322	30485	63896
323	30600	63845
324	30706	63774
325	30832	63746
326	30984	63768
327	31089	63696
328	31203	63639
329	31336	63622
330	31466	63598
331	31588	63558
332	31707	63509
333	31837	63483
334	31962	63447
335	32093	63421
336	32218	63386
337	32329	63319
338	32456	63284
339	32574	63233
340	32672	63140
341	32784	63076
342	32902	63023
343	33018	62966
344	33110	62861
345	33241	62832
346	33379	62814
347	33497	62759
348	33538	62559
349	33661	62514
350	33729	62366
351	33822	62264
352	33905	62144
353	34016	62074
354	34129	62010
355	34247	61952
356	34347	61864
357	34481	61836
358	34595	61770
359	34697	61685
360	34803	61605
361	34839	61401
362	34942	61318
363	35043	61230
364	35130	61116
365	35231	61029
366	35326	60931
367	35429	60846
368	35533	60763
369	35662	60722
370	35771	60646
371	35861	60540
372	35954	60438
373	36056	60350
374	36164	60274
375	36257	60172
376	36341	60054
377	36433	59951
378	36529	59853
379	36626	59759
380	36737	59686
381	36842	59604
382	36944	59516
383	37040	59418
384	37135	59320
385	37230	59222
386	37335	59138
387	37433	59044
388	37529	58947
389	37624	58847
390	37723	58756
391	37822	58662
392	37942	58602
393	38054	58530
394	38145	58425
395	38247	58337
396	38348	58247
397	38445	58150
398	38541	58053
399	38632	57949
400	38725	57846
401	38813	57737
402	38919	57654
403	39038	57592
404	39156	57525
405	39252	57429
406	39340	57319
407	39431	57214
408	39526	57115
409	39628	57026
410	39730	56936
411	39831	56846
412	39932	56756
413	40041	56677
414	40137	56578
415	40260	56519
416	40390	56469
417	40499	56388
418	40595	56290
419	40693	56195
420	40814	56131
421	40937	56070
422	41051	55997
423	41163	55919
424	41280	55850
425	41404	55789
426	41535	55737
427	41646	55658
428	41753	55573
429	41870	55503
430	41985	55429
431	42099	55353
432	42213	55276
433	42317	55188
434	42435	55117
435	42473	54942
436	42631	54923
437	42748	54851
438	42863	54775
439	42966	54684
440	43074	54600
441	43185	54519
442	43291	54432
443	43419	54372
444	43532	54293
445	43639	54206
446	43783	54165
447	43900	54091
448	43993	53987
449	44089	53887
450	44194	53797
451	44297	53705
452	44414	53631
453	44519	53540
454	44624	53451
455	44747	53383
456	44846	53285
457	44988	53239
458	45122	53183
459	45235	53102
460	45353	53027
461	45453	52931
462	45558	52839
463	45676	52763
464	45796	52690
465	45900	52598
466	46010	52512
467	46169	52483
468	46312	52434
469	46425	52351
470	46527	52257
471	46642	52176
472	46745	52082
473	46855	51995
474	46969	51913
475	47084	51832
476	47206	51758
477	47318	51674
478	47430	51589
479	47510	51469
480	47639	51403
481	47732	51297
482	47838	51205
483	47932	51102
484	48024	50995
485	48103	50874
486	48197	50770
487	48282	50656
488	48374	50551
489	48498	50478
490	48608	50390
491	48706	50290
492	48794	50180
493	48885	50072
494	48993	49982
495	49084	49876
496	49176	49769
497	49257	49653
498	49333	49531
499	49463	49463
500	49563	49365
501	49691	49295
502	49785	49191
503	49882	49090
504	49970	48980
505	50114	48926
506	50187	48801
507	50269	48686
508	50354	48573
509	50448	48470
510	50536	48360
511	50629	48256
512	50722	48151
513	50848	48078
514	50955	47986
515	51052	47886
516	51136	47773
517	51227	47667
518	51320	47563
519	51417	47462
520	51609	47449
521	51805	47439
522	52063	47483
523	52203	47421
524	52319	47336
525	52405	47225
526	52497	47118
527	52592	47014
528	52689	46912
529	52792	46816
530	52914	46736
531	53020	46641
532	53138	46558
533	53250	46469
534	53364	46382
535	53459	46278
536	53552	46173
537	53666	46085
538	53760	45980
539	53865	45885
540	53974	45793
541	54082	45701
542	54172	45592
543	54262	45484
544	54383	45403
545	54501	45317
546	54619	45233
547	54722	45135
548	54865	45072
549	54973	44978
550	55071	44876
551	55155	44764
552	55260	44668
553	55350	44560
554	55452	44461
555	55574	44379
556	55666	44273
557	55746	44157
558	55823	44039
559	55905	43925
560	55987	43811
561	56069	43698
562	56150	43584
563	56231	43469
564	56329	43368
565	56415	43258
566	56503	43149
567	56586	43037
568	56697	42946
569	56793	42844
570	56875	42731
571	56954	42615
572	57044	42509
573	57129	42399
574	57217	42291
575	57301	42180
576	57380	42065
577	57468	41958
578	57554	41849
579	57635	41736
580	57725	41629
581	57840	41542
582	57938	41441
583	58019	41329
584	58106	41220
585	58180	41103
586	58257	40988
587	58340	40878
588	58415	40761
589	58491	40646
590	58572	40535
591	58666	40432
592	58743	40318
593	58825	40207
594	58927	40110
595	59030	40013
596	59109	39901
597	59193	39792
598	59277	39683
599	59362	39575
600	59465	39478
601	59557	39374
602	59652	39273
603	59746	39171
604	59838	39068
605	59961	38985
606	60108	38916
607	60334	38900
608	60503	38845
609	60634	38766
610	60752	38678
611	60856	38582
612	60948	38477
613	61041	38374
614	61157	38285
615	61245	38178
616	61356	38086
617	61463	37992
618	61554	37887
619	61650	37786
620	61749	37686
621	61865	37596
622	61981	37507
623	62090	37413
624	62203	37321
625	62306	37224
626	62437	37143
627	62583	37071
628	62711	36988
629	62810	36888
630	62914	36791
631	63007	36687
632	63447	36785
633	63545	36684
634	63666	36595
635	63780	36503
636	63872	36398
637	63968	36295
638	64055	36187
639	64147	36082
640	64238	35977
641	64331	35873
642	64431	35773
643	64519	35666
644	64615	35563
645	64703	35456
646	64814	35362
647	64926	35268
648	65016	35163
649	65100	35053
650	65177	34941
651	65257	34830
652	65352	34727
653	65433	34617
654	65522	34511
655	65615	34408
656	65707	34303
657	65802	34201
658	65894	34096
659	66023	34012
660	66125	33913
661	66212	33806
662	66303	33701
663	66410	33605
664	66545	33522
665	66653	33426
666	66740	33320
667	66845	33222
668	66963	33131
669	67056	33027
670	67182	32940
671	67336	32866
672	67444	32770
673	67553	32674
674	67664	32579
675	67777	32485
676	67894	32392
677	68015	32302
678	68124	32206
679	68231	32108
680	68376	32029
681	68516	31947
682	68628	31852
683	68743	31758
684	68826	31650
685	68915	31544
686	68986	31430
687	69082	31328
688	69164	31219
689	69260	31117
690	69360	31016
691	69490	30929
692	69603	30834
693	69703	30734
694	69792	30628
695	69891	30527
696	70010	30435
697	70127	30341
698	70221	30238
699	70315	30135
700	70405	30030
701	70504	29929
702	70611	29831
703	70743	29744
704	70842	29643
705	70942	29542
706	71031	29437
707	71122	29333
708	71228	29234
709	71346	29141
710	71460	29046
711	71581	28954
712	71702	28862
713	71840	28776
714	71964	28684
715	72066	28585
716	72156	28480
717	72243	28374
718	72343	28273
719	72436	28169
720	72536	28068
721	72639	27969
722	72761	27876
723	72849	27771
724	72977	27680
725	73155	27609
726	73273	27515
727	73374	27414
728	73468	27311
729	73595	27220
730	73730	27131
731	73840	27034
732	73953	26938
733	74089	26849
734	74222	26760
735	74360	26672
736	74486	26580
737	74608	26487
738	74739	26396
739	74848	26298
740	74950	26197
741	75077	26105
742	75206	26013
743	75333	25921
744	75491	25839
745	75628	25750
746	75736	25651
747	75841	25551
748	75955	25453
749	76044	25348
750	76145	25246
751	76242	25143
752	76355	25046
753	76465	24947
754	76591	24854
755	76729	24764
756	76849	24668
757	76973	24574
758	77096	24479
759	77207	24381
760	77313	24281
761	77430	24184
762	77526	24080
763	77621	23977
764	77720	23875
765	77854	23783
766	77969	23685
767	78062	23581
768	78150	23475
769	78245	23371
770	78344	23269
771	78456	23170
772	78570	23073
773	78679	22973
774	78794	22875
775	78913	22779
776	79059	22690
777	79178	22593
778	79283	22492
779	79399	22394
780	79505	22294
781	79616	22194
782	79727	22095
783	79828	21993
784	79935	21893
785	80049	21794
786	80217	21710
787	80358	21619
788	80476	21521
789	80604	21426
790	80738	21332
791	80871	21239
792	80998	21143
793	81105	21042
794	81224	20944
795	81357	20850
796	81514	20762
797	81654	20669
798	81768	20570
799	81881	20470
800	82004	20373
801	82130	20276
802	82239	20175
803	82348	20075
804	82470	19977
805	82621	19886
806	82752	19790
807	82865	19690
808	82985	19592
809	83109	19494
810	83212	19392
811	83335	19294
812	83455	19195
813	83578	19097
814	83719	19003
815	83880	18914
816	83994	18813
817	84115	18715
818	84231	18615
819	84318	18508
820	84425	18406
821	84525	18303
822	84625	18200
823	84711	18093
824	84809	17989
825	84947	17894
826	85091	17800
827	85213	17701
828	85316	17598
829	85432	17498
830	85557	17399
831	85680	17300
832	85805	17202
833	85916	17100
834	86020	16998
835	86161	16902
836	86346	16815
837	86468	16715
838	86654	16628
839	86778	16529
840	86893	16428
